Number,Associated,TaxRank,MinScore,NextMaxScore
5866,Myxoctovirus,Genus,382:05:00,307:00:00
4847,Rigallicvirus,Genus,508:08:00,290:04:00
28173,Dhillonvirus,Genus,141:02:00,136:04:00
13294,Phikzvirus,Genus,569:00:00,358:09:00
14631,Plotvirus,Genus,768:04:00,768:01:00
30750,Lightbulbvirus,Genus,165:03:00,64:02:00
21944,Corndogvirus,Genus,261:02:00,161:01:00
10847,Pegunavirus,Genus,224:05:00,214:04:00
10809,Pegunavirus,Genus,326:09:00,298:07:00
28113,Efquatrovirus,Genus,145:07:00,77:02:00
10033,Bixzunavirus,Genus,501:04:00,156:05:00
10859,Pegunavirus,Genus,85:05:00,72:05:00
14765,Fromanvirus,Genus,85:06:00,77:09:00
18098,Andromedavirus,Genus,496:08:00,494:09:00
29297,Homburgvirus,Genus,155:06:00,115:04:00
18652,Abouovirus,Genus,143:03:00,141:06:00
13776,Tunavirus,Genus,198:08:00,191:04:00
5775,Inhavirus,Genus,273:00:00,217:01:00
14556,Reyvirus,Genus,87:03:00,66:01:00
6255,Kayvirus,Genus,126:04:00,119:00:00
30170,Cequinquevirus,Genus,192:08:00,91:03:00
14323,Fromanvirus,Genus,185:01:00,55:00:00
14049,Omegavirus,Genus,199:02:00,190:03:00
14500,Timquatrovirus,Genus,457:00:00,402:01:00
23482,Gordtnkvirus,Genus,220:00:00,130:05:00
10825,Pipefishvirus,Genus,197:09:00,186:07:00
8644,Bequatrovirus,Genus,145:09:00,142:07:00
4932,Pipefishvirus,Genus,50:08:00,50:02:00
14129,Omegavirus,Genus,199:08:00,115:06:00
13843,Homburgvirus,Genus,219:00:00,209:00:00
13673,Kolesnikvirus,Genus,94:00:00,91:08:00
8757,Pecentumvirus,Genus,196:05:00,187:05:00
22806,Tegunavirus,Genus,124:08:00,121:04:00
6171,Kochikohdavirus,Genus,1189:05:00,667:07:00
26174,Lessievirus,Genus,406:09:00,346:03:00
26730,Nazgulvirus,Genus,197:09:00,154:09:00
14505,Timquatrovirus,Genus,432:01:00,407:05:00
14332,Fromanvirus,Genus,121:05:00,102:01:00
6740,Tequintavirus,Genus,236:06:00,182:01:00
10830,Pegunavirus,Genus,185:05:00,179:06:00
22406,Xiamenvirus,Genus,256:04:00,240:06:00
21011,Agatevirus,Genus,509:09:00,406:07:00
18862,Rigallicvirus,Genus,263:03:00,164:01:00
26953,Lessievirus,Genus,255:09:00,214:05:00
10519,Fletchervirus,Genus,136:02:00,113:04:00
22899,Steinhofvirus,Genus,214:01:00,144:03:00
18866,Karamvirus,Genus,661:03:00,253:09:00
10806,Pegunavirus,Genus,227:08:00,210:07:00
11495,Vequintavirus,Genus,277:08:00,269:05:00
18089,Andromedavirus,Genus,199:01:00,195:04:00
28423,Coopervirus,Genus,156:08:00,148:00:00
26521,Rosenblumvirus,Genus,181:05:00,176:05:00
14719,Fromanvirus,Genus,214:01:00,81:01:00
28886,Inhavirus,Genus,92:09:00,64:03:00
11356,Phifelvirus,Genus,520:07:00,515:02:00
24550,Moonvirus,Genus,88:07:00,86:03:00
24836,Nankokuvirus,Genus,258:09:00,141:06:00
10831,Pegunavirus,Genus,754:08:00,670:03:00
14371,Fromanvirus,Genus,118:06:00,66:05:00
17852,Tidunavirus,Genus,126:06:00,120:02:00
10791,Pegunavirus,Genus,183:03:00,162:05:00
5858,Nonagvirus,Genus,144:07:00,96:06:00
10828,Pegunavirus,Genus,393:02:00,362:06:00
17234,Pahexavirus,Genus,243:01:00,239:00:00
15841,Pipefishvirus,Genus,891:08:00,829:07:00
10865,Pegunavirus,Genus,151:02:00,130:08:00
10037,Bixzunavirus,Genus,1379:06:00,387:01:00
12374,Dhakavirus,Genus,105:02:00,103:02:00
18611,Siminovitchvirus,Genus,149:04:00,75:00:00
10814,Pegunavirus,Genus,298:07:00,288:02:00
30178,Cequinquevirus,Genus,177:00:00,65:07:00
10838,Pegunavirus,Genus,265:04:00,245:02:00
11969,Tulanevirus,Genus,807:09:00,800:08:00
24316,Coopervirus,Genus,114:03:00,83:01:00
30721,Ithacavirus,Genus,115:02:00,51:04:00
26563,Xipdecavirus,Genus,432:09:00,336:07:00
4631,Krischvirus,Genus,174:03:00,171:00:00
23030,Kuravirus,Genus,146:06:00,93:02:00
10034,Bixzunavirus,Genus,486:08:00,60:01:00
12929,Dhakavirus,Genus,519:03:00,514:02:00
19685,Bignuzvirus,Genus,109:08:00,108:08:00
6741,Tequintavirus,Genus,124:08:00,107:04:00
21665,Lilyvirus,Genus,155:07:00,145:00:00
27390,Yuavirus,Genus,457:03:00,450:09:00
12601,Obolenskvirus,Genus,95:06:00,90:05:00
30993,Bignuzvirus,Genus,93:02:00,83:09:00
27884,Pepyhexavirus,Genus,407:00:00,220:03:00
27880,Pepyhexavirus,Genus,209:07:00,142:07:00
18700,Abouovirus,Genus,99:04:00,94:04:00
18739,Bronvirus,Genus,138:03:00,108:06:00
10949,Rosebushvirus,Genus,219:03:00,138:03:00
18430,Avunavirus,Genus,98:01:00,95:08:00
10866,Rosebushvirus,Genus,288:02:00,287:02:00
10636,Fletchervirus,Genus,137:00:00,78:03:00
9980,Bixzunavirus,Genus,247:08:00,134:09:00
30970,Bequatrovirus,Genus,983:04:00,814:01:00
10845,Pegunavirus,Genus,450:09:00,388:04:00
10805,Pegunavirus,Genus,425:00:00,395:05:00
14532,Bronvirus,Genus,169:01:00,144:03:00
6704,Tequintavirus,Genus,159:00:00,132:04:00
22800,Gelderlandvirus,Genus,674:02:00,656:05:00
14032,Gaiavirus,Genus,137:09:00,137:03:00
30734,Lightbulbvirus,Genus,1608:06:00,69:05:00
14305,Cheoctovirus,Genus,120:06:00,82:06:00
23339,Nonagvirus,Genus,342:01:00,250:05:00
14224,Cheoctovirus,Genus,428:09:00,367:04:00
4818,Rigallicvirus,Genus,207:02:00,177:07:00
10840,Pegunavirus,Genus,268:02:00,255:05:00
17220,Obolenskvirus,Genus,158:05:00,144:09:00
20612,Sanovirus,Genus,604:03:00,529:06:00
10624,Fletchervirus,Genus,805:04:00,110:01:00
16656,Likavirus,Genus,125:06:00,123:00:00
8707,Bequatrovirus,Genus,438:02:00,433:02:00
22995,Svunavirus,Genus,300:04:00,273:03:00
16946,Siminovitchvirus,Genus,276:09:00,248:06:00
